,resto_age,thumbnail,address,resto_name,sectors,location_x,location_y,phone_number,menu1,menu2,tag
28,notf,https://d12zq4w4guyljn.cloudfront.net/20200330052007_photo1_dee9c86dafb0.jpg,서울특별시 종로구 낙원동 45-3,"
마산해물아구찜 통나무식당
",notf,126.988029579952,37.5735937130791,02-763-7494,아구찜,,"{'저녁식사': 9, '술모임': 6, '식사모임': 4, '가족외식': 2, '점심식사': 1, '데이트': 1, '모임': 1, '서민적인': 6, '시끌벅적한': 3, '허름한': 1, '캐주얼한': 1, '숨은맛집': 1, '지역주민이 찾는': 1, '주차불가': 1, '무료주차': 1}"
29,notf,https://d12zq4w4guyljn.cloudfront.net/20220404123742_photo1_Nm0ULH5g8GOd.jpg,서울특별시 종로구 관훈동 42-2,"
북촌손만두 본점
",notf,126.985133110223,37.5741657858552,02-732-1238,튀김만두,명물찐만두,"{'점심식사': 8, '혼밥': 5, '저녁식사': 5, '간식': 3, '데이트': 1, '아이동반': 1, '가족외식': 1, '서민적인': 7, '시끌벅적한': 2, '가성비좋은': 2, '지역주민이 찾는': 1, '캐주얼한': 1, '무료주차': 1}"
30,notf,https://d12zq4w4guyljn.cloudfront.net/20201103050759482_photo_277f2e1d22c5.jpg,서울특별시 종로구 종로5가 443,"
송정식당
",notf,127.005871915197,37.5702334621229,02-2267-2817,불꼬지 백반 1인,오징어볶음,"{'점심식사': 8, '저녁식사': 6, '혼밥': 4, '술모임': 2, '혼술': 2, '데이트': 2, '식사모임': 1, '아침식사': 1, '서민적인': 8, '가성비좋은': 4, '시끌벅적한': 3, '지역주민이 찾는': 2, '푸짐한': 2, '조용한': 2, '지역주민이찾는': 1, '숨은맛집': 1, '아담한': 1, '주차불가': 1, '무료주차': 1}"
31,notf,https://d12zq4w4guyljn.cloudfront.net/20220710054037510_photo_e11ef1ea6f89.jpg,서울특별시 종로구 돈의동 11-1,"
이경문순대곱창
",notf,126.99084257068,37.5730733699421,02-765-1532,순대곱창전골 소,사골순대국,"{'술모임': 10, '저녁식사': 10, '식사모임': 5, '점심식사': 5, '혼밥': 3, '가족외식': 2, '혼술': 1, '데이트': 1, '기념일': 1, '회식': 1, '서민적인': 8, '시끌벅적한': 7, '가성비좋은': 4, '푸짐한': 2, '캐주얼한': 2, '숨은맛집': 2, '노포': 1, '지역주민이찾는': 1, '주차불가': 1}"
32,notf,https://d12zq4w4guyljn.cloudfront.net/20220703053600_photo1_mm1F5kOrpCVI.jpg,서울시 종로구 원서동 144,"
천하보쌈
",notf,126.988842165416,37.5794619693064,02-744-1614,보쌈 정식,생배추보쌈 대,"{'저녁식사': 10, '점심식사': 7, '식사모임': 6, '가족외식': 6, '회식': 5, '술모임': 4, '혼밥': 3, '데이트': 2, '혼술': 1, '서민적인': 9, '가성비좋은': 4, '캐주얼한': 4, '지역주민이찾는': 3, '숨은맛집': 3, '푸짐한': 2, '시끌벅적한': 2, '이국적/이색적': 1, '깔끔한': 1, '무료주차': 1, '좌식': 1, '주차불가': 1}"
33,notf,https://d12zq4w4guyljn.cloudfront.net/20220804065146910_photo_fabc48758b07.jpg,서울특별시 종로구 관수동 102-1,"
서울식품
",notf,126.991232909243,37.5689983782242,02-2267-3657,굴전(소),호박전,"{'술모임': 10, '저녁식사': 4, '데이트': 3, '혼술': 2, '시끌벅적한': 8, '서민적인': 8, '숨은맛집': 4, '가성비좋은': 4, '푸짐한': 2, '이국적/이색적': 1, '지역주민이 찾는': 1, '캐주얼한': 1, '지역주민이찾는': 1, '주차불가': 2, '야외좌석': 1}"
34,notf,https://d12zq4w4guyljn.cloudfront.net/20220502085533857_photo_bd9ab61146f8.jpg,서울특별시 종로구 종로5가 265-8,"
명동닭한마리
",notf,127.005888903941,37.5703526629646,02-2266-8249,닭한마리,닭볶음탕,"{'저녁식사': 9, '점심식사': 7, '가족외식': 6, '술모임': 6, '식사모임': 2, '회식': 2, '데이트': 2, '실버푸드': 1, '접대': 1, '서민적인': 8, '시끌벅적한': 7, '가성비좋은': 4, '푸짐한': 2, '지역주민이 찾는': 1, '캐주얼한': 1, '무료주차': 1, '주차불가': 1}"
35,notf,https://d12zq4w4guyljn.cloudfront.net/20220710054757763_photo_e11ef1ea6f89.jpg,서울시 종로구 관수동 43-2,"
한일식당
",notf,126.991141229033,37.5698965737949,02-2279-7343,생선구이,황태구이,"{'점심식사': 9, '식사모임': 4, '저녁식사': 4, '혼밥': 4, '아침식사': 3, '실버푸드': 2, '회식': 2, '술모임': 1, '서민적인': 7, '가성비좋은': 5, '푸짐한': 3, '숨은맛집': 2, '지역주민이 찾는': 2, '시끌벅적한': 2, '허름한': 1, '오래된집': 1, '캐주얼한': 1, '중년이상이많은': 1, '아담한': 1, '지역주민이찾는': 1, '무료주차': 1, '주차불가': 1}"
36,notf,https://d12zq4w4guyljn.cloudfront.net/20220810093203_photo1_2e6b526c2058.jpg,서울특별시 종로구 관철동 11-11,"
이강순실비집
",notf,126.986137903871,37.5685851438392,02-737-7880,낙지볶음 1접시,조개탕,"{'저녁식사': 9, '점심식사': 6, '술모임': 5, '식사모임': 4, '가족외식': 2, '데이트': 1, '회식': 1, '혼술': 1, '서민적인': 7, '지역주민이찾는': 3, '숨은맛집': 3, '푸짐한': 2, '이국적/이색적': 1, '캐주얼한': 1, '시끌벅적한': 1, '가성비좋은': 1}"
37,notf,https://d12zq4w4guyljn.cloudfront.net/20220720051039_photo1_7d029cf2598f.jpg,서울특별시 종로구 견지동 68-1,"
아지오
",notf,126.983426819603,37.5736627134392,02-722-0211,새우 비스큐 크림소스 파스타,도미 오일소스 파스타,"{'점심식사': 9, '데이트': 7, '저녁식사': 6, '식사모임': 4, '가족외식': 3, '기념일': 2, '회식': 1, '이국적/이색적': 4, '조용한': 3, '숨은맛집': 3, '격식있는': 2, '예쁜': 2, '깔끔한': 2, '경관/야경이좋은': 1, '가성비좋은': 1, '푸짐한': 1, '지역주민이찾는': 1, '고급스러운': 1, '예약필수': 1, '대형룸': 1}"
38,notf,https://d12zq4w4guyljn.cloudfront.net/20220416092608_photo1_1eaa70d22d92.jpg,서울특별시 종로구 종로5가 138-16,"
박가네빈대떡 2호점
",notf,127.001322922635,37.5704686704306,,맷돌빈대떡,고기빈대떡,"{'점심식사': 7, '저녁식사': 6, '식사모임': 4, '술모임': 3, '혼술': 3, '간식': 3, '가족외식': 2, '혼밥': 2, '회식': 2, '아이동반': 1, '서민적인': 8, '시끌벅적한': 6, '가성비좋은': 4, '캐주얼한': 4, '지역주민이찾는': 2, '격식있는': 1, '주차불가': 2}"
39,notf,https://d12zq4w4guyljn.cloudfront.net/20220822030743_photo1_f1b68ca05753.jpg,서울시 종로구 삼청동 88-23,"
청수정
",notf,126.981583591309,37.5836844677289,02-738-8288,홍합밥정식,홍합비빔밥,"{'식사모임': 7, '점심식사': 4, '저녁식사': 4, '가족외식': 2, '접대': 1, '다이어트식단': 1, '회식': 1, '데이트': 1, '실버푸드': 1, '깔끔한': 4, '서민적인': 3, '지역주민이찾는': 3, '오래된집': 2, '조용한': 2, '토속적인': 2, '가성비좋은': 1, '시끌벅적한': 1, '숨은맛집': 1, '이국적/이색적': 1, '푸짐한': 1, '좌식': 2, '주차불가': 1}"
