id,resto_age,thumbnail,address,resto_name,sectors,location_x,location_y,phone_number,menu1,menu2,terrace,drinking,meal,lunch,dinner,cost_effective,classy,mood,noisy,quiet,real_local,etc
110,notf,https://d12zq4w4guyljn.cloudfront.net/20220910073421469_photo_86f87df7782f.jpg,서울특별시 영등포구 여의도동 44-14,화목순대국,notf,126.9314562,37.5193788,02-780-8191,순대국,내장탕,0,5,2,13,10,17,0,0,0,1,6,"혼밥,실버푸드,회식,데이트,가족외식,아침식사,숨은맛집,캐주얼한,지역주민이 찾는,주차불가,"
111,notf,https://d12zq4w4guyljn.cloudfront.net/20220909093112198_photo_GNtCRjNogBBb.jpg,서울특별시 마포구 연남동 361-17,명인갈비,notf,126.9181493,37.56629717,02-3142-8292,돼지 양념 구이 250g,소왕양념갈비 270g,0,1,3,1,2,3,0,0,2,0,0,"가족외식,아이동반,접대,기념일,회식,캐주얼한,숨은맛집,무료주차,"
112,notf,https://d12zq4w4guyljn.cloudfront.net/20220908025301350_photo_FEaT4s05wugP.jpg,서울특별시 중구 을지로6가 18-85,대화정 진짜해장국,notf,127.0077471,37.56756109,,진짜해장국 특,진짜해장국,0,9,5,8,8,17,0,0,2,0,6,"혼밥,아침식사,가족외식,실버푸드,숨은맛집,캐주얼한,지역주민이 찾는,주차불가,24시간영업,"
113,notf,https://d12zq4w4guyljn.cloudfront.net/20220906073325513_photo_b586e35c8684.jpg,서울시 동작구 사당동 1031-37,사당광안리,notf,126.9813191,37.47991296,,생연어회(소)1~2인,생연어회(중)2~3인,0,20,3,0,13,18,0,0,18,0,2,"데이트,회식,기념일,캐주얼한,지역주민이 찾는,숨은맛집,핫한,주차불가,"
114,notf,https://d12zq4w4guyljn.cloudfront.net/20220906052605_photo1_06d69fb0c864.jpg,서울특별시 동작구 사당동 1039-14,논고을 사당점,notf,126.9784304,37.47740261,02-525-9203,갈비살,제주오겹살,0,2,4,2,4,4,0,0,3,0,1,"데이트,회식,가족외식,기념일,캐주얼한,숨은맛집,지역주민이 찾는,격식있는,"
115,notf,https://d12zq4w4guyljn.cloudfront.net/20220904052228_photo1_f50717cf2e58.jpg,서울특별시 성북구 동소문동5가 52-3,황해옥감자탕,notf,127.0148313,37.59206619,02-929-2935,감자탕 특대,감자탕 대,0,2,1,2,3,3,0,0,1,0,0,"회식,캐주얼한,골때리는,"
116,notf,https://d12zq4w4guyljn.cloudfront.net/20220903114128320_photo_7d22c69bdc89.jpg,서울특별시 서대문구 대현동 27-20,미스터서왕만두 이대점,notf,126.9431569,37.55803143,02-312-8869,소룡포,찐만두,0,1,1,24,18,37,0,0,2,2,2,"혼밥,간식,데이트,가족외식,아침식사,아이동반,야식,배달,캐주얼한,이국적/이색적,지역주민이 찾는,숨은맛집,아담한,육즙,허름한,깔끔한,젊은사람이많은,현장대기필요,예약주문,"
117,notf,https://d12zq4w4guyljn.cloudfront.net/20220902101401786_photo_3dbdb59e9149.jpg,서울특별시 관악구 남현동 1060-6,서초동연가 사당역점,notf,126.9807805,37.47595375,02-585-5386,육회,박살사시미+육회,0,7,0,0,3,4,0,0,2,0,0,"남자끼리,지역주민이 찾는,캐주얼한,아담한,좌식,"
118,notf,https://d12zq4w4guyljn.cloudfront.net/20220831125608_photo1_8815d9f603cc.jpg,서울특별시 강동구 천호동 426-3 몽땅족발,몽땅족발,notf,127.1251505,37.54018542,02-485-7669,족발 小,족발 中,0,2,3,1,4,1,0,0,3,0,2,"배달,회식,가족외식,숨은맛집,깔끔한,캐주얼한,"
119,notf,https://d12zq4w4guyljn.cloudfront.net/20220830100618_photo1_69c7f5c7e9c7.jpg,서울특별시 성북구 성북동 184-2,옛날 중국집,notf,127.0043886,37.5908015,02-764-0094,짜장면,간짜장,0,2,2,10,9,12,0,0,0,0,2,"가족외식,혼밥,데이트,노포중국집,아이동반,성북동맛집,오래된중국집,숨은맛집,허름한,오래된집,캐주얼한,지역주민이 찾는,배달,주차불가,"
120,notf,https://d12zq4w4guyljn.cloudfront.net/20220830065224045_photo_T09xfAZJX8bX.jpg,서울특별시 종로구 창성동 98-6,해장국사람들,notf,126.9714385,37.58054555,02-736-6088,삼봉국밥,순대국,0,1,1,4,4,6,0,0,1,0,3,"혼밥,아침식사,회식,실버푸드,숨은맛집,깔끔한,주차불가,개별룸,"
121,notf,https://d12zq4w4guyljn.cloudfront.net/20220830064646798_photo_fepyMr9BhR0u.jpg,서울특별시 강남구 논현동 143-10,영동 삼미숯불갈비,notf,127.0229213,37.50946542,02-549-9485,수원왕갈비,생등심,0,3,0,3,3,3,0,0,1,0,2,"가족외식,데이트,아이동반,회식,혼밥,캐주얼한,숨은맛집,발렛주차,"
122,notf,https://d12zq4w4guyljn.cloudfront.net/20220826075721796_photo_cb6339476e80.jpg,서울특별시 강서구 염창동 280-6,유림 강서점,notf,126.8716158,37.54780449,02-3665-3930,토종닭도리탕 1마리,능이토종닭백숙 1마리,10,12,9,18,25,29,0,0,13,0,5,"가족외식,회식,데이트,기념일,모임,남자끼리,배달,숨은맛집,캐주얼한,깔끔한,지역주민이 찾는,경관/야경이좋은,오래된집,허름한,빈티지,예쁜,이국적/이색적,복고풍,토속적인,중년이상이많은,무료주차,개별룸,대형룸,현장대기필요,좌식,예약필요,"
123,notf,https://d12zq4w4guyljn.cloudfront.net/20220825125937916_photo_3d042c99ac6c.jpg,서울특별시 마포구 도화동 250-11,동리장,notf,126.9474041,37.53963537,02-702-1333,육전,애호박찌개,0,10,3,13,8,31,0,0,0,1,1,"혼밥,데이트,가족외식,회식,점심맛집,아침식사,기념일,숨은맛집,깔끔한,캐주얼한,이국적/이색적,지역주민이 찾는,독특한,주차불가,게임,포장가능,배달,놀이방, 포장,"
124,notf,https://d12zq4w4guyljn.cloudfront.net/20220825105723070_photo_fepyMr9BhR0u.jpg,서울특별시 마포구 공덕동 256-30,마포 소문난 원조족발,notf,126.9538251,37.54482799,02-716-9731,한돈족발 (大),한돈족발 (中),0,2,0,1,3,6,0,0,1,0,0,"주차불가,"
125,notf,https://d12zq4w4guyljn.cloudfront.net/20220825043137059_photo_07f87ba5239a.jpg,서울시 마포구 공덕동 256-11,마포 오향족발,notf,126.9531155,37.54476572,02-715-7719,족발(소),족발(대),0,5,3,4,6,17,0,0,5,0,0,"데이트,가족외식,아이동반,기념일,숨은맛집,캐주얼한,지역주민이 찾는,배달,"
126,notf,https://d12zq4w4guyljn.cloudfront.net/20220824194900_photo1_5ea5390af79d.jpg,서울특별시 강남구 역삼동 826-37,을밀대 강남점,notf,127.0304058,37.49539993,02-552-1922,물냉면,녹두전,0,5,11,21,18,17,0,0,16,4,4,"혼밥,가족외식,데이트,회식,간식,남자끼리,접대,모임,아이동반,캐주얼한,깔끔한,지역주민이 찾는,토속적인,경관/야경이좋은,오래된집,경관/야경이 좋은,중년이상이많은,격식있는,무료주차,개별룸,좌식,주차불가,현장대기필요,지하주차 비싸다,대형룸,"
127,notf,https://d12zq4w4guyljn.cloudfront.net/20220824070730173_photo_fepyMr9BhR0u.jpg,서울특별시 강남구 청담동 23,인디아나 치킨호프,notf,127.0405996,37.52143951,02-546-1406,후라이드치킨,순살치킨,0,2,0,0,0,1,0,0,2,1,1,"호프집,숨은맛집,무료주차,"
128,notf,https://d12zq4w4guyljn.cloudfront.net/20220823100455_photo1_2e6b526c2058.jpg,서울특별시 종로구 낙원동 136,백제정육점,notf,126.9890923,37.57238135,02-745-2224,육회,등심,0,4,2,3,6,9,0,0,2,0,1,"가족외식,회식,접대,혼밥,기념일,데이트,숨은맛집,지역주민이 찾는,캐주얼한,"
129,notf,https://d12zq4w4guyljn.cloudfront.net/20220823094233523_photo_T09xfAZJX8bX.jpg,서울특별시 용산구 한강로2가 93-3,세광양대창 용산점,notf,126.9709299,37.531934,02-790-7113,모듬구이(꽃대창+대창+막창+특양),꽃대창구이(150g),0,2,1,0,3,2,0,0,2,0,1,"회식,데이트,깔끔한,주차불가,"
130,notf,https://d12zq4w4guyljn.cloudfront.net/20220820061413_photo5_69bc35ed1eb7.jpg,서울특별시 강동구 천호동 312-15,대성반점,notf,127.1281807,37.54672396,02-484-8005,짜장,짬뽕,0,2,3,8,8,16,0,0,1,3,4,"혼밥,배달,아이동반,가족외식,회식,숨은맛집,깔끔한,지역주민이 찾는,캐주얼한,무료주차,가게앞 주차 3~4대 가능,"
131,notf,https://d12zq4w4guyljn.cloudfront.net/20220820051900785_photo_zVUZAYkR72md.jpg,서울특별시 동대문구 청량리동 769-1,고향집 아바이왕순대,notf,127.0437965,37.58025058,02-964-8844,순대정식,순대국 특,0,4,3,7,6,14,0,0,2,0,5,"혼밥,실버푸드,아침식사,회식,간식,숨은맛집,캐주얼한,주차불가,"
132,notf,https://d12zq4w4guyljn.cloudfront.net/20220818124234418_photo_9d7a99a8e454.jpg,서울특별시 강남구 역삼동 834-101,세석정,notf,127.0353258,37.49394461,02-555-0964,곰탕 보통,곰탕특 일삼,0,0,0,1,1,1,0,0,0,0,1,"혼밥,기념일,접대,주차불가,한대정도,"
133,notf,https://d12zq4w4guyljn.cloudfront.net/20220817140947_photo1_c040717d8728.jpg,서울특별시 종로구 명륜2가 225,나누미 떡볶이,notf,126.9978847,37.58372715,02-747-0881,쌀떡볶이,김밥,0,0,2,14,15,34,0,0,9,0,12,"간식,혼밥,데이트,가족외식,디저트,새벽,야식,배달심부름,아이동반,캐주얼한,숨은맛집,지역주민이 찾는,허름한,아담한,24시간영업,주차불가,"
134,notf,https://d12zq4w4guyljn.cloudfront.net/20220817033920_photo1_3e6ae56e9fed.jpg,서울특별시 서초구 서초동 1327-29,청류벽,notf,127.0274214,37.49494286,02-2055-1191,물막국수,비빔막국수,0,8,9,11,15,22,1,0,8,2,7,"가족외식,회식,데이트,혼밥,다이어트식단,아이동반,실버푸드,캐주얼한,깔끔한,숨은맛집,이국적/이색적,지역주민이 찾는,무료주차,지하주차장 카드결재,"
135,notf,https://d12zq4w4guyljn.cloudfront.net/20220816112812003_photo_LE3SlMc9KkvW.jpg,서울특별시 강서구 마곡동 326-2,마곡오리,notf,126.822962,37.57262085,02-3662-5292,논두렁 주물럭 대,논두렁 주물럭 중,0,3,2,0,4,3,0,0,3,0,0,"가족외식,회식,지역주민이 찾는,캐주얼한,무료주차,"
136,notf,https://d12zq4w4guyljn.cloudfront.net/20220815155433_photo1_e0419d9ef174.jpg,서울특별시 성동구 성수동1가 656-970,훼미리손칼국수,notf,127.0446903,37.54954385,02-463-5036,만두국,감자전,0,6,5,8,8,18,0,0,3,0,5,"혼밥,가족외식,데이트,실버푸드,간식,배달,회식,숨은맛집,캐주얼한,지역주민이 찾는,이국적/이색적,무료주차,주차불가,가게앞 두대가능 이외 주차불가,"
137,notf,https://d12zq4w4guyljn.cloudfront.net/20220815032324_photo1_6c7510d6698c.jpg,서울특별시 종로구 내자동 11-1,서촌계단집,notf,126.9714914,37.57633657,02-737-8412,참소라,돌문어,0,31,4,0,17,27,0,0,30,0,5,"데이트,회식,실버푸드,소라,모임,해물라면,캐주얼한,숨은맛집,허름한,이국적/이색적,오래된집,지역주민이 찾는,아담한,불친절!!!,깔끔한,현장대기필요,주차불가,"
138,notf,https://d12zq4w4guyljn.cloudfront.net/20220812091246094_photo_d469d59e807a.jpg,서울특별시 영등포구 영등포동6가 1-15,일미집 영등포직영점,notf,126.9043704,37.52039,02-2677-4544,감자탕백반,감자탕 소,0,4,3,9,8,17,0,0,1,0,1,"가족외식,데이트,혼밥,회식,아침식사,배달,아이동반,깔끔한,지역주민이 찾는,숨은맛집,캐주얼한,이국적/이색적,주차불가,대형룸,"
139,notf,https://d12zq4w4guyljn.cloudfront.net/20220811071320961_photo_V2B7W6aw3XOs.jpg,서울특별시 영등포구 당산동3가 174,은성감자탕,notf,126.8973834,37.52679936,02-2632-0792,뼈해장국,뼈우거지탕,0,10,6,8,10,16,0,0,1,0,7,"혼밥,가족외식,회식,실버푸드,배달,숨은맛집,캐주얼한,지역주민이 찾는,깔끔한,주차불가,"
140,notf,https://d12zq4w4guyljn.cloudfront.net/20220809230258_photo1_E7hC93fQ5Col.jpg,서울특별시 서초구 서초동 1715-1,이남장 서초점,notf,127.0123813,37.49379805,02-592-0268,설렁탕,내장탕,0,5,2,6,5,6,0,0,1,1,2,"혼밥,아침식사,가족외식,회식,데이트,캐주얼한,지역주민이 찾는,발렛주차,대형룸,무료주차,24시간영업,개별룸,"
141,notf,https://d12zq4w4guyljn.cloudfront.net/20220809162102_photo1_c175137efa0e.jpg,서울특별시 영등포구 당산동4가 32-111,육영토종한우 본점,notf,126.8981253,37.52869013,02-3667-6011,"숯,야채(별도)",한우모듬구이,0,4,3,5,5,8,0,0,4,0,1,"회식,접대,기념일,가족외식,캐주얼한,지역주민이 찾는,무료주차,개별룸,"
142,notf,https://d12zq4w4guyljn.cloudfront.net/20220807034710_photo1_69c7f5c7e9c7.jpg,서울특별시 성북구 동소문동5가 8,이보상의 황칠족발,notf,127.0137978,37.59175907,02-921-9997,반반족발 대 (메밀비빔막국수포함),황칠족발 대 (메밀 비빔막국수포함),0,4,1,2,4,9,0,0,3,1,0,"가족외식,회식,데이트,기념일,숨은맛집,편하게 대해 주시는 사장님과 직원분들,깔끔한,지역주민이 찾는,배달,가위바위보 이벤트,대형룸,"
143,notf,https://d12zq4w4guyljn.cloudfront.net/20220807021920348_photo_d9c5e4270b1b.jpg,서울특별시 강남구 논현동 165-17,유림상회,notf,127.0239321,37.50724713,02-511-7270,바지락칼국수,갑오징어해물볶음,1,4,0,0,2,1,0,0,3,0,0,"회식,"
144,notf,https://d12zq4w4guyljn.cloudfront.net/20220806102924_photo1_eef365dd396c.jpg,서울 도봉구 쌍문동 395-2,영 즉석 떡볶이,notf,127.0316813,37.64588932,02-990-6128,즉석 떡볶이,순대볶음,0,0,0,1,3,3,0,0,0,0,1,"즉석떡볶이맛집,데이트,쌍문동맛집,가족외식,맛없음,캐주얼한,불쾌한,주차불가,"
145,notf,https://d12zq4w4guyljn.cloudfront.net/20220803103128571_photo_V2B7W6aw3XOs.jpg,서울특별시 영등포구 영등포동7가 208,일출옥,notf,126.9056062,37.52336061,02-2636-9625,아욱국,명란국밥,0,2,2,5,3,6,0,0,0,1,2,"혼밥,아침식사,깔끔한,숨은맛집,캐주얼한,예쁜,무료주차,"
146,notf,https://d12zq4w4guyljn.cloudfront.net/20220802143815_photo1_fc7b092373c7.jpg,서울특별시 영등포구 당산동3가 199,황해도 구월산,notf,126.8974965,37.5273852,02-2634-5180,도가니탕,매운소뼈찜(大),0,2,2,4,4,6,0,0,1,0,4,"혼밥,가족외식,기념일,데이트,숨은맛집,깔끔한,캐주얼한,"
147,notf,https://d12zq4w4guyljn.cloudfront.net/20220802014017_photo1_760b46c26ea7.jpg,서울특별시 중구 남창동 60-2,가메골 손만두,notf,126.9771205,37.55836779,02-755-2569,고기왕만두 (비닐포장-5개/박스포장-10개부터/ 먹고갈시-4개),김치왕만두 (비닐포장-5개/박스포장10개부터/ 먹고갈시-4개),0,0,1,15,9,38,0,0,11,0,5,"간식,혼밥,데이트,배달,야식,길거리,모임,아침식사,가족외식,아이동반,여자끼리,브런치,간단한식사,숨은맛집,캐주얼한,아담한,이국적/이색적,깔끔한,토속적인,재미있는,지역주민이 찾는,허름한,오래된집,중년이상이많은,주차불가,현장대기필요,"
148,notf,https://d12zq4w4guyljn.cloudfront.net/20220801093912_photo1_bb49b9b17e28.jpg,서울특별시 강남구 대치동 897-3,청국장서갈비,notf,127.0502666,37.50251083,02-561-1019,"청국장, 된장찌개 각",닭매운탕,0,1,1,3,2,6,0,0,0,0,1,"아침식사,혼밥,숨은맛집,캐주얼한,지역주민이 찾는,"
149,notf,https://d12zq4w4guyljn.cloudfront.net/20220731073434_photo1_1fae05b52f4f.jpg,서울특별시 용산구 한강로2가 81-2,로스트인 홍콩,notf,126.9712988,37.53065998,02-794-4566,[디너]홍콩식BBQ플래터(씨우메이)大,[디너]홍콩식BBQ플래터(씨우메이)中,0,1,0,2,1,0,0,0,1,0,0,"데이트,이국적/이색적,깔끔한,"
150,notf,https://d12zq4w4guyljn.cloudfront.net/20220729055457_photo1_bvzXwtb3f2N7.jpg,서울특별시 중구 초동 17-2,타케리아 스탠,notf,126.9931737,37.56513459,070-7857-5287,타코,퀘사디아,0,1,0,3,3,3,0,0,0,0,2,"간식,혼밥,데이트,이국적/이색적,캐주얼한,숨은맛집,주차불가,"
151,notf,https://d12zq4w4guyljn.cloudfront.net/20220727023128_photo1_cc5f1e93ab76.jpg,서울특별시 강서구 화곡동 910-29,미가버섯매운탕샤브샤브칼국수,notf,126.8449971,37.52829528,02-2601-2893,야채 수끼 전골,버섯 매운탕 칼국수,0,0,2,2,2,3,0,0,0,0,3,"가족외식,회식,노상공영주차,"
152,notf,https://d12zq4w4guyljn.cloudfront.net/20220727014013_photo1_2173c10c6952.jpg,서울특별시 성동구 성수동1가 656-387,민정식당 서울숲직영점,notf,127.0480458,37.54866604,02-466-3837,설렁탕,수육 소,0,0,2,2,2,3,0,0,0,0,2,"접대,혼밥,가족외식,배달,숨은맛집,깔끔한,"
153,notf,https://d12zq4w4guyljn.cloudfront.net/20220726101933_photo1_u1Gbho0o5xhZ.jpg,서울 중구 명동1가 26-1,신세계떡볶이,notf,126.9850151,37.56429311,,떡볶이,순대,0,0,0,4,2,9,0,0,0,0,3,"간식,혼밥,데이트,숨은맛집,캐주얼한,"
154,notf,https://d12zq4w4guyljn.cloudfront.net/20220724124932544_photo_ac7b4daa4e93.jpg,서울특별시 종로구 낙원동 49,장군족발보쌈 본점,notf,126.9881291,37.57350624,02-743-3557,족발 大,족발 中,0,4,3,1,5,6,0,0,2,0,2,"회식,데이트,가족외식,배달,캐주얼한,숨은맛집,개별룸,"
155,notf,https://d12zq4w4guyljn.cloudfront.net/20220721090749233_photo_d0a716345ac5.jpg,서울시 광진구 자양동 232-4,민정식당 본점,notf,127.0790239,37.53557767,02-452-3574,수육(대),수육(중),0,5,6,10,8,10,0,0,4,1,6,"가족외식,혼밥,회식,데이트,숨은맛집,캐주얼한,깔끔한,주차불가,개별룸,무료주차,"
156,notf,https://d12zq4w4guyljn.cloudfront.net/20220718100554556_photo_0bc70c209046.jpg,서울특별시 강서구 화곡동 98-59,헤라클래스,notf,126.8430546,37.54271827,02-2695-0667,한방장작구이,숯불바베큐,1,3,2,0,3,6,0,0,3,0,1,"배달,데이트,숨은맛집,"
157,notf,https://d12zq4w4guyljn.cloudfront.net/20220714071423_photo1_577e7ed4211d.jpg,서울특별시 중랑구 상봉동 105-29,이주소곱창,notf,127.0879895,37.59394316,02-978-4723,모듬구이,곱창구이,0,5,1,0,4,5,0,0,2,0,2,"가족외식,회식,"
158,notf,https://d12zq4w4guyljn.cloudfront.net/20220713095155_photo1_f845b5a58a5c.jpg,서울특별시 강동구 성내동 42-5,푸지미곱창,notf,127.1267802,37.53619892,,야채곱창,순대곱창,0,2,4,1,4,6,0,0,1,0,3,"야식,숨은맛집,캐주얼한,아담한,"
159,notf,https://d12zq4w4guyljn.cloudfront.net/20220711093444387_photo_d4c761c61756.jpg,서울시 강남구 역삼동 831-3 2층,랭맥,notf,127.0300667,37.49478796,02-501-2129,최고급황태,쏘야,0,6,1,1,3,3,0,0,4,0,0,"데이트,혼밥,아침식사,격식있는,경관/야경이좋은,숨은맛집,캐주얼한,이국적/이색적,예쁜,무료주차,가게앞주차,"
160,notf,https://d12zq4w4guyljn.cloudfront.net/20220710014350_photo1_eef365dd396c.jpg,서울특별시 강북구 수유동 174-35,역전할머니맥주 수유점 수유점,notf,127.0275069,37.64067728,02-997-7333,살얼음맥주,,1,4,0,0,2,6,0,0,3,0,1,"간식,수유술집,데이트,배달,역전할머니맥주,회식,할맥,캐주얼한,"
161,notf,https://d12zq4w4guyljn.cloudfront.net/20220708133759_photo1_e0419d9ef174.jpg,서울특별시 종로구 서린동 129-1,달콤커피 청계광장점,notf,126.9797072,37.56948088,02-722-5857,드래곤후르츠 자몽에이드,패션후르츠 레몬에이드,4,0,0,1,0,0,1,0,0,0,0,"데이트,차모임,혼카페,경관/야경이좋은,깔끔한,예쁜,루프탑,"
